HD	RA	DEG	Bayer	Cst
0	0	0	0	0
28	1.3339583	-5.7078333	     	Psc
87	1.42475	13.3962778	     	Peg
144	1.6105417	64.1961667	     	Cas
315	1.93375	-2.5486944	     	Cet
352	2.050375	-2.4476944	     	Cet
358	2.0965417	29.0908333	alf  	And
432	2.2920417	59.1502222	bet  	Cas
448	2.25975	18.2120278	     	Peg
493	2.3375833	-27.9879167	kap01	Scl
496	2.35225	-45.747	eps  	Phe
560	2.5090833	11.1458056	     	Psc
571	2.5801667	46.0722778	     	And
636	2.5094583	-82.224	gam03	Oct
693	2.8162917	-15.4673333	     	Cet
720	2.8934167	-27.7997778	kap02	Scl
739	2.932875	-35.1333889	the  	Scl
886	3.3089583	15.1836111	gam  	Peg
905	3.3789167	41.0357222	     	And
1013	3.6504583	20.2066944	chi  	Peg
1038	3.660125	-18.9326944	     	Cet
1061	3.7449167	8.8210278	     	Psc
1227	4.1419167	8.2401944	     	Psc
1280	4.2730833	38.6816667	the  	And
1317	4.3520833	8.8763333	     	Psc
1337	4.4294583	51.4330833	AO   	Cas
1404	4.582125	36.7853333	sig  	And
1438	4.675625	43.7911389	     	And
1522	4.857	-8.8238333	iot  	Cet
1563	4.9845	16.2508889	     	Psc
1581	5.0079583	-64.8776111	zet  	Tuc
1635	5.1494167	8.19025	d    	Psc
1671	5.280125	37.9686944	rho  	And
1685	5.1626667	-69.6249167	pi.  	Tuc
1737	5.3799167	-28.9813056	iot  	Scl
1760	5.442625	-20.058	T    	Cet
1796	5.6060417	13.4824444	     	Psc
1835	5.7147917	-12.2095833	     	Cet
1967	6.0083333	38.5772222	R    	And
2011	6.197875	61.8310556	     	Cas
2051	6.0119583	-72.0953611	ksi  	Tuc
2114	6.3509167	1.9397222	     	Psc
2140	6.4245417	7.6912222	     	Psc
2151	6.4133333	-77.2550278	bet  	Hyi
2261	6.5702917	-42.3051111	alf  	Phe
2262	6.5505	-43.6799167	kap  	Phe
2273	6.6557083	-0.0495278	     	Cet
2410	6.9936667	19.5140833	     	Psc
2411	7.0118333	17.8930833	TV   	Psc
2429	6.982125	-33.0070556	eta  	Scl
2436	7.052875	16.4451111	     	Psc
2628	7.5305833	29.7516944	     	And
2637	7.5097917	-3.9573056	     	Cet
2729	7.855	66.5196389	     	Cas
2772	7.943	54.5223333	lam  	Cas
2834	7.8535833	-48.8035556	lam01	Phe
2884	7.8856667	-62.9580833	bet01	Tuc
2885	7.889	-62.9654444	bet02	Tuc
2905	8.2499583	62.9317778	kap  	Cas
2910	8.1475	20.2944444	     	Psc
2913	8.0989583	6.9554444	     	Psc
3003	8.1824583	-63.0313889	bet03	Tuc
3038	8.6037083	66.7503611	     	Cas
3112	8.3467917	-71.2662222	the  	Tuc
3196	8.811	-3.59275	     	Cet
3229	8.8864583	-0.5054722	     	Cet
3302	8.921375	-48.0006667	lam02	Phe
3360	9.2427917	53.8969444	zet  	Cas
3369	9.2201667	33.7193611	pi.  	And
3379	9.197125	15.23175	     	Psc
3512	9.5190417	-0.5035	     	Cet
3546	9.6395833	29.3123611	eps  	And
3627	9.8316667	30.8612222	del  	And
3651	9.8420417	21.2513611	     	Psc
3690	9.9814583	21.4385556	     	Psc
3712	10.126625	56.5374167	alf  	Cas
3817	10.28	39.4586667	     	And
3901	10.5161667	50.5125278	ksi  	Cas
3919	10.3315833	-46.085	mu.  	Phe
3980	10.4429167	-56.5014444	ksi  	Phe
4058	10.8670417	47.0246389	pi.  	Cas
4065	10.6787083	-38.4634722	lam01	Scl
4089	10.6179167	-65.4681389	rho  	Tuc
4128	10.8967917	-17.9866944	bet  	Cet
4142	11.1092917	47.8639722	     	Cas
4150	10.8385	-57.4631111	eta  	Phe
4161	11.4129583	74.9881389	YZ   	Cas
4180	11.18125	48.2843889	omi  	Cas
4188	11.0475417	-10.6092778	phi01	Cet
4211	11.0496667	-38.4219722	lam02	Scl
4307	11.369625	-12.8803056	     	Cet
4382	11.94175	74.8475833	     	Cas
4408	11.6374167	15.4756111	     	Psc
4482	11.7559583	11.9739444	     	Psc
4490	11.8065	19.5786944	     	Psc
4502	11.8349583	24.2673889	zet  	And
4526	11.8484167	6.7409722	     	Psc
4568	11.9780417	20.9253056	     	Psc
4614	12.27125	57.8165556	eta  	Cas
4627	12.07225	7.2999167	     	Psc
4636	12.2082917	50.9681944	nu.  	Cas
4656	12.1704167	7.5851944	del  	Psc
