HIP	RA	DEC	Bayer	Cst
443	0	0	     	Psc
476	0	0	     	Peg
531	0	0	     	Cas
635	0	0	     	Cet
664	0	0	     	Cet
677	0	0	alf  	And
746	0	0	bet  	Cas
729	0	0	     	Peg
761	0	0	kap01	Scl
765	0	0	eps  	Phe
813	0	0	     	Psc
841	0	0	     	And
814	0	0	gam03	Oct
910	0	0	     	Cet
930	0	0	kap02	Scl
950	0	0	the  	Scl
1067	0	0	gam  	Peg
1086	0	0	     	And
1168	0	0	chi  	Peg
1170	0	0	     	Cet
1196	0	0	     	Psc
1319	0	0	     	Psc
1366	0	0	the  	And
1392	0	0	     	Psc
1415	0	0	AO   	Cas
1473	0	0	sig  	And
1501	0	0	     	And
1562	0	0	iot  	Cet
1595	0	0	     	Psc
1599	0	0	zet  	Tuc
1645	0	0	d    	Psc
1686	0	0	rho  	And
1647	0	0	pi.  	Tuc
1708	0	0	iot  	Scl
1728	0	0	T    	Cet
1772	0	0	     	Psc
1803	0	0	     	Cet
1960	0	0	     	Cas
1902	0	0	ksi  	Tuc
2006	0	0	     	Psc
2025	0	0	     	Psc
2021	0	0	bet  	Hyi
2081	0	0	alf  	Phe
2072	0	0	kap  	Phe
2100	0	0	     	Cet
2213	0	0	     	Psc
2219	0	0	TV   	Psc
2210	0	0	eta  	Scl
2224	0	0	     	Psc
2355	0	0	     	And
2353	0	0	     	Cet
2474	0	0	     	Cas
2505	0	0	lam  	Cas
2472	0	0	lam01	Phe
2484	0	0	bet01	Tuc
2487	0	0	bet02	Tuc
2599	0	0	kap  	Cas
2568	0	0	     	Psc
2548	0	0	     	Psc
2578	0	0	bet03	Tuc
2707	0	0	     	Cas
2629	0	0	the  	Tuc
2762	0	0	     	Cet
2787	0	0	     	Cet
2802	0	0	lam02	Phe
2920	0	0	zet  	Cas
2912	0	0	pi.  	And
2903	0	0	     	Psc
2994	0	0	     	Cet
3031	0	0	eps  	And
3092	0	0	del  	And
3093	0	0	     	Psc
3138	0	0	     	Psc
3179	0	0	alf  	Cas
3231	0	0	     	And
3300	0	0	ksi  	Cas
3245	0	0	mu.  	Phe
3277	0	0	ksi  	Phe
3414	0	0	pi.  	Cas
3356	0	0	lam01	Scl
3330	0	0	rho  	Tuc
3419	0	0	bet  	Cet
3478	0	0	     	Cas
3405	0	0	eta  	Phe
3572	0	0	YZ   	Cas
3504	0	0	omi  	Cas
3455	0	0	phi01	Cet
3456	0	0	lam02	Scl
3559	0	0	     	Cet
3721	0	0	     	Cas
3632	0	0	     	Psc
3675	0	0	     	Psc
3685	0	0	     	Psc
3693	0	0	zet  	And
3697	0	0	     	Psc
3730	0	0	     	Psc
3821	0	0	eta  	Cas
3760	0	0	     	Psc
3801	0	0	nu.  	Cas
3786	0	0	del  	Psc
3810	0	0	     	Psc
3881	0	0	nu.  	And
3885	0	0	i    	Psc
3909	0	0	phi02	Cet
3781	0	0	lam  	Hyi
3949	0	0	rho  	Phe
4147	0	0	     	Cet
4084	0	0	lam01	Tuc
4292	0	0	ups01	Cas
4267	0	0	     	Psc
4257	0	0	     	Cet
4288	0	0	     	And
4366	0	0	k    	Psc
4427	0	0	gam  	Cas
4422	0	0	ups02	Cas
4371	0	0	phi03	Cet
4436	0	0	mu.  	And
4293	0	0	lam02	Tuc
4463	0	0	eta  	And
4510	0	0	h    	Psc
4843	0	0	ups  	Cep
4587	0	0	phi04	Cet
4577	0	0	alf  	Scl
5372	0	0	     	UMi
4770	0	0	ksi  	Scl
4903	0	0	     	And
4889	0	0	sig  	Psc
4852	0	0	sig  	Scl
4906	0	0	eps  	Psc
4829	0	0	ome  	Phe
4914	0	0	     	Cet
4979	0	0	     	Cet
5074	0	0	     	Psc
5081	0	0	     	Psc
5131	0	0	psi01	Psc
5132	0	0	psi01	Psc
5175	0	0	     	Psc
5141	0	0	     	Psc
5144	0	0	     	Psc
5121	0	0	     	Cet
5164	0	0	     	Cet
5204	0	0	     	Psc
5336	0	0	mu.  	Cas
5165	0	0	bet  	Phe
5317	0	0	     	And
5319	0	0	     	Psc
5310	0	0	psi02	Psc
5296	0	0	     	Cet
5315	0	0	     	Cet
5346	0	0	e    	Psc
5300	0	0	ups  	Phe
5268	0	0	iot  	Tuc
5364	0	0	eta  	Cet
5434	0	0	phi  	And
5518	0	0	     	Cas
5447	0	0	bet  	And
5348	0	0	zet  	Phe
5454	0	0	psi03	Psc
5493	0	0	     	And
5542	0	0	the  	Cas
5589	0	0	     	Cas
5485	0	0	     	Cet
5510	0	0	     	Cet
5550	0	0	     	And
5544	0	0	g    	Psc
5571	0	0	chi  	Psc
5586	0	0	tau  	Psc
5594	0	0	     	Cet
5646	0	0	     	Cet
5742	0	0	phi  	Psc
5737	0	0	zet  	Psc
5743	0	0	zet  	Psc
5778	0	0	     	Psc
5799	0	0	     	Cet
5824	0	0	     	Psc
5833	0	0	     	Cet
5862	0	0	nu	Phe
5951	0	0	     	Cet
5985	0	0	     	Cet
      	0	0	S    	Cas
5896	0	0	kap  	Tuc
6061	0	0	f    	Psc
6242	0	0	phi  	Cas
6193	0	0	ups  	Psc
6312	0	0	     	Cas
6226	0	0	     	Cet
6315	0	0	l    	Psc
6411	0	0	ksi  	And
6429	0	0	     	Cet
6514	0	0	     	And
6692	0	0	psi  	Cas
6539	0	0	     	Cet
6537	0	0	the  	Cet
6686	0	0	del  	Cas
6670	0	0	     	Cet
6706	0	0	rho  	Psc
6732	0	0	     	Psc
6813	0	0	ome  	And
6748	0	0	     	Cet
6815	0	0	     	Psc
6759	0	0	R    	Scl
11767	0	0	alf  	UMi
7078	0	0	     	Cas
6867	0	0	gam  	Phe
6999	0	0	A    	And
6981	0	0	     	Psc
6960	0	0	     	Cet
7007	0	0	mu.  	Psc
7097	0	0	eta  	Psc
7083	0	0	del  	Phe
7294	0	0	chi  	Cas
7364	0	0	     	Psc
7345	0	0	     	Cet
7436	0	0	     	Psc
7650	0	0	     	Cas
7513	0	0	ups  	And
7450	0	0	     	Cet
7463	0	0	tau  	Scl
7535	0	0	pi.  	Psc
7607	0	0	     	And
7719	0	0	chi  	And
7710	0	0	     	Psc
7588	0	0	alf  	Eri
7740	0	0	     	Psc
7818	0	0	tau  	And
7965	0	0	     	Cas
8016	0	0	     	Cas
7751	0	0	p    	Eri
7884	0	0	nu.  	Psc
8046	0	0	     	Cas
7981	0	0	     	Psc
8068	0	0	phi  	Per
7955	0	0	pi.  	Scl
7978	0	0	q01  	Eri
8159	0	0	     	Psc
8102	0	0	tau  	Cet
8198	0	0	omi  	Psc
8209	0	0	eps  	Scl
8271	0	0	     	Ari
7879	0	0	tau01	Hyi
8240	0	0	     	Phe
8241	0	0	q02  	Eri
8387	0	0	     	Ari
8544	0	0	     	Ari
8497	0	0	chi  	Cet
8704	0	0	     	Per
8588	0	0	     	Cet
8714	0	0	     	Per
8645	0	0	zet  	Cet
8886	0	0	eps  	Cas
8814	0	0	     	And
8796	0	0	alf  	Tri
8832	0	0	gam01	Ari
9009	0	0	ome  	Cas
8833	0	0	ksi  	Psc
8366	0	0	tau02	Hyi
8903	0	0	bet  	Ari
8837	0	0	psi  	Phe
8751	0	0	eta01	Hyi
9021	0	0	     	And
8882	0	0	phi  	Phe
8993	0	0	     	Ari
9110	0	0	iot  	Ari
9061	0	0	     	Cet
9007	0	0	chi  	Eri
9222	0	0	     	Per
9153	0	0	lam  	Ari
8928	0	0	eta02	Hyi
9165	0	0	     	Cet
9155	0	0	     	Cet
9480	0	0	A    	Cas
9383	0	0	chi  	Tri
9598	0	0	     	Cas
9727	0	0	     	Cas
9353	0	0	     	Psc
9326	0	0	     	Cet
9347	0	0	ups  	Cet
9564	0	0	     	Cas
9573	0	0	     	Cas
9505	0	0	g    	Per
9236	0	0	alf  	Hyi
9763	0	0	     	Cas
8991	0	0	sig  	Hyi
9440	0	0	pi.  	For
9487	0	0	alf  	Psc
9570	0	0	eps  	Tri
9459	0	0	chi  	Phe
9640	0	0	gam01	And
9621	0	0	     	Ari
9589	0	0	     	Cet
9631	0	0	     	Cet
9677	0	0	nu.  	For
10031	0	0	     	Cas
9836	0	0	kap  	Ari
9859	0	0	     	Ari
9884	0	0	alf  	Ari
9977	0	0	     	And
10064	0	0	bet  	Tri
10053	0	0	     	Ari
10227	0	0	     	Per
10176	0	0	     	And
10180	0	0	     	And
10155	0	0	     	Ari
10203	0	0	     	Ari
10220	0	0	     	Tri
10212	0	0	     	Cet
10234	0	0	     	Cet
10438	0	0	     	Cas
10280	0	0	     	Tri
10340	0	0	b    	And
10366	0	0	     	Per
10306	0	0	eta  	Ari
10328	0	0	     	Ari
10324	0	0	ksi01	Cet
10305	0	0	     	Cet
10320	0	0	mu.  	For
10559	0	0	     	Tri
10540	0	0	     	Ari
10535	0	0	     	Ari
10644	0	0	del  	Tri
10718	0	0	     	Per
10729	0	0	chi  	Per
10670	0	0	gam  	Tri
10642	0	0	     	Cet
10418	0	0	pi.01	Hyi
10732	0	0	the  	Ari
10819	0	0	c    	And
10602	0	0	phi  	Eri
10793	0	0	     	Tri
10513	0	0	pi.02	Hyi
