HR	Name	HD	RA	DEC	mag	Type
1	          	3	00 05 09.9	+45 13 45	6.7	  A1Vn
2	          	6	00 05 03.8	-00 30 11	6.29	 gG9
3	 33    Psc	28	00 05 20.1	-05 42 27	4.61	  K0IIIbCN-0.5
4	 86    Peg	87	00 05 42.0	+13 23 46	5.51	  G5III
5	          	123	00 06 16.0	+58 26 12	5.96	  G5V
6	          	142	00 06 19.0	-49 04 30	5.7	  G1IV
7	 10    Cas	144	00 06 26.5	+64 11 46	5.59	  B9III
8	          	166	00 06 36.8	+29 01 17	6.13	  K0V
9	          	203	00 06 50.1	-23 06 27	6.18	  A7V
10	          	256	00 07 18.2	-17 23 11	6.19	  A6Vn
11	          	315	00 07 44.1	-02 32 56	6.43	  B8IIIpSi
12	          	319	00 07 46.8	-22 30 32	5.94	  A2Vp:
13	          	344	00 08 03.5	-33 31 46	5.68	  K1III
14	          	352	00 08 12.1	-02 26 52	6.07	  K2III+F
15	 21Alp And	358	00 08 23.3	+29 05 26	2.06	  B8IVpMnHg
16	          	360	00 08 17.4	-08 49 26	5.99	 gG8
17	          	400	00 08 41.0	+36 37 36	6.19	  F8IV
18	          	402	00 08 33.4	-17 34 39	6.06	  M0III
19	          	417	00 08 52.2	+25 27 46	6.23	  K0III
20	          	431	00 09 20.2	+79 42 53	6.01	  A7IV
21	 11Bet Cas	432	00 09 10.7	+59 08 59	2.27	  F2III-IV
22	 87    Peg	448	00 09 02.4	+18 12 43	5.53	  G9III
23	          	469	00 09 02.4	-54 00 07	6.33	  G4IV
24	   Kap1Scl	493	00 09 21.0	-27 59 16	5.42	  F2V
25	   Eps Phe	496	00 09 24.7	-45 44 51	3.88	  K0III
26	 34    Psc	560	00 10 02.3	+11 08 44	5.51	  B9Vn
27	 22    And	571	00 10 19.3	+46 04 20	5.03	  F2II
28	          	584	00 10 29.7	+57 09 56	6.74	  B7IV
29	          	587	00 10 18.8	-05 14 55	5.84	  K1III
30	   Gam3Oct	636	00 10 02.1	-82 13 26	5.28	  G8III
31	          	645	00 10 42.8	-12 34 48	5.85	  K0IV
32	          	661	00 10 38.6	-73 13 28	6.64	  F2V+F6V
33	  6    Cet	693	00 11 15.9	-15 28 05	4.89	  F7V
34	   Kap2Scl	720	00 11 34.4	-27 47 59	5.41	  K5III
35	   The Scl	739	00 11 44.0	-35 07 59	5.25	  F4V
36	          	743	00 11 59.1	+48 09 09	6.16	 gK4
37	          	787	00 12 10.0	-17 56 18	5.25	  K5III
38	          	829	00 12 50.4	+37 41 36	6.73	  B2V
39	 88Gam Peg	886	00 13 14.2	+15 11 01	2.83	  B2IV
40	          	895	00 13 24.0	+26 59 14	6.3	  G0III
41	 23    And	905	00 13 30.8	+41 02 07	5.72	  F0IV
42	          	942	00 13 42.1	-26 01 19	5.94	  K5III
43	          	943	00 13 44.2	-26 17 05	6.31	  K5III
44	          	952	00 14 02.3	+33 12 22	6.25	  A1V
45	 89Chi Peg	1013	00 14 36.2	+20 12 24	4.8	  M2+III
46	          	1014	00 14 27.6	-07 46 50	5.12	  M3+III
47	          	1032	00 13 19.4	-84 59 39	5.77	  M0-1III
48	  7    Cet	1038	00 14 38.4	-18 55 58	4.44	  M3III
49	          	1048	00 14 56.1	+22 17 03	6.24	  A1pSi
50	 35    Psc	1061	00 14 58.8	+08 49 15	5.79	  F0IV
51	          	1064	00 14 54.5	-09 34 11	5.75	  B9V
52	          	1075	00 15 07.0	+31 32 09	6.45	  K5
53	          	1083	00 15 10.6	+27 16 59	6.35	  A1Vn
54	          	1089	00 14 58.2	-34 54 16	6.17	  K3III
55	          	1141	00 16 14.0	+76 57 03	6.35	  B8Vnn
