HIP	_RA.icrs	_DE.icrs	Vmag
0	0	0	999
1	0.00089921	1.08900875	9.1
2	0.00426461	-19.49883971	9.27
3	0.00502431	38.85927901	6.61
4	0.00862924	-51.89354573	8.06
5	0.00997344	-40.59120235	8.55
6	0.01869276	3.94645772	12.31
7	0.02201047	20.03611413	9.64
8	0.02734317	25.88646069	9.05
9	0.03532282	36.58595824	8.59
10	0.03641572	-50.86697633	8.59
11	0.03733643	46.93999663	7.34
12	0.04089957	-35.96022506	8.43
13	0.04170195	-22.59470508	8.8
14	0.04842198	-0.36044955	7.25
15	0.05036227	50.79118714	8.6
17	0.05098992	-40.19239251	8.15
16	0.0524969	-54.91436305	11.71
18	0.05282924	-4.05368033	11.03
19	0.05330922	38.30404973	6.53
20	0.06304593	23.52922812	8.51
21	0.0663876	8.00723384	7.55
22	0.07010645	-49.35226574	8.69
23	0.07456455	13.31223428	7.57
24	0.07638666	-23.45269512	9.05
25	0.07956353	-44.29056147	6.28
26	0.08408762	-13.39337792	9.13
27	0.08590961	-41.29781324	9.32
28	0.08721207	-43.36182074	8.83
29	0.09223079	-49.10794521	9.14
30	0.09610796	42.14147417	8.26
31	0.09808203	2.67547719	7.63
32	0.09858221	51.93948715	9.09
33	0.09917188	-10.46238467	8.1
34	0.09958476	26.91810825	6.43
35	0.10296783	-14.49048429	9.07
36	0.10339915	12.26712771	7.68
37	0.10532715	-47.17956673	10.44
38	0.11312591	-79.06198299	8.65
39	0.11229215	-16.69700929	7.46
41	0.11657092	54.3022366	8.7
40	0.12195094	67.21678352	10.61
42	0.12544256	25.84476477	8.2
43	0.12870233	59.55967936	6.18
44	0.13274932	-3.30632275	7.91
45	0.13390871	-72.20271707	9.59
46	0.13458518	-25.62228532	8.57
47	0.13499593	-56.83560235	10.78
48	0.13523572	-40.69047406	7.31
49	0.1395683	16.66904872	9.53
50	0.14308505	-53.09771264	6.49
51	0.14341521	1.06621265	8.94
52	0.14689101	-77.02011641	8.56
53	0.1474235	-29.26341397	10.96
54	0.15259369	17.96890842	10.57
55	0.15883342	-66.68317341	7.4
56	0.16292659	0.22293148	8.12
57	0.16799887	-69.67596496	8.27
58	0.17351893	62.17589814	7.05
59	0.17444632	55.72246019	9.09
60	0.17543305	-64.46579906	8.34
61	0.17629182	53.82214566	8.86
62	0.17997515	-45.42273893	8.27
63	0.18180951	45.25333358	6.36
64	0.18457262	-27.9075816	8.08
65	0.18710968	-54.83052368	11
66	0.18842425	-72.31822025	8.55
67	0.19934271	23.53821871	7.83
68	0.20038292	16.98819718	8.79
69	0.20141819	30.39588967	8.33
70	0.20265818	36.77763731	10.42
71	0.20702546	36.78010596	8.26
72	0.2199319	-12.82896097	8.97
73	0.22032873	66.84801108	6.9
74	0.22234521	35.75262415	9.93
75	0.22327289	-50.44645878	7.42
76	0.22821386	32.82565398	9.03
77	0.23057457	-30.06416645	8.41
78	0.23231177	17.86785087	8.06
79	0.23577186	35.31672029	8.69
80	0.24283274	-11.82373854	8.4
81	0.24341384	-4.93253439	8.57
82	0.24801685	-10.93596353	9.5
83	0.24807269	52.08056203	8.85
84	0.25242746	27.88633041	9.61
85	0.25613701	-24.71404783	10.62
86	0.26046303	69.60350479	8.05
87	0.26149643	-5.83500221	7.8
88	0.26909344	-48.8098756	5.71
89	0.27715454	53.1669426	7.87
90	0.28008183	-41.88754391	7.64
91	0.28053082	-5.87434773	7.66
92	0.2906966	-20.70554966	8.68
93	0.29235608	-0.07609845	8.12
94	0.29499845	-32.75683653	10.1
95	0.30201413	-11.96403357	8.67
96	0.30494514	13.9750881	10.46
98	0.30716971	-52.79857541	9.87
97	0.3073815	-21.40404233	9.48
99	0.31606323	60.35528221	7.04
100	0.31637606	19.74124322	8.44
101	0.3197098	-47.79383145	9.88
102	0.32048758	-41.48743739	7.05
103	0.32207502	-68.37112748	8.29
104	0.32662431	-31.89961853	9.34
105	0.32780793	70.92893785	7.73
106	0.33021487	49.98155781	6.22
107	0.33383021	-50.33737333	5.53
108	0.33664439	-70.12527188	8.53
109	0.34659447	6.79146987	7.23
110	0.34861376	39.6107174	8.61
111	0.34984681	34.28184822	11.28
112	0.35767634	-16.94844609	10.76
113	0.36561966	49.01040602	8.93
114	0.37164702	30.73578537	7.95
115	0.37258484	-62.92313043	7.46
116	0.37532319	-33.79277101	8.6
117	0.38055656	-72.60589935	8.55
118	0.38659514	-9.43003328	9.2
119	0.39016602	44.67540116	6.82
120	0.39592082	-45.34475878	8.29
121	0.39642463	28.42369128	6.83
122	0.39876554	-77.06572447	4.78
123	0.39988475	72.23661528	7.21
124	0.40423123	61.2228008	5.58
125	0.40467015	-39.33674829	8.7
126	0.40882673	14.63232402	8.06
127	0.41224611	-48.93561927	10.86
128	0.41441548	73.6118466	6.5
129	0.41561535	5.37280823	9.32
130	0.41829818	-30.69253681	9.14
131	0.41986828	62.01808739	8.13
132	0.42202106	-34.65354522	10.62
133	0.42347606	-40.14870204	6.62
134	0.42519683	-1.1399598	9.96
135	0.42679631	-0.21777675	8.64
136	0.42869158	24.25311272	6.6
137	0.43270606	42.36714391	6.25
138	0.43744428	-16.5316612	7.83
139	0.44526953	67.50697513	10.03
140	0.45333249	-68.10489746	9.04
141	0.45349432	36.35035821	8.47
142	0.45377733	66.30603196	7.33
144	0.45527839	76.1755975	8.66
143	0.4556469	21.46250254	10.35
145	0.45603512	-3.02750382	5.13
146	0.45583888	-25.79852585	8.96
147	0.46605992	21.02623628	8.49
149	0.47784764	26.00404934	11.26
148	0.47882106	15.52854154	8.15
150	0.4803049	-37.22995274	7.04
