problem	phi	time	star1	star2	star3	star4	star5
1	50.97	29.5	Pup rho 	PsA alf 	Ori kap 	Vel kap 	Ori alf 
2	44.45	19.5	Cen eta 	Cen alf 	Sgr del 	Sco the 	Sco lam 
3	34.23	19.0	Oph alf 	Vel gam0	Sgr lam 	Car alf 	Aql zet 
4	124.9	22.5	Lib alf0	Car bet 	Cap del 	Her alf0	Oph zet 
5	50.44	19.5	Car ups 	Mus alf 	Sco sig 	Cen del 	Aql zet 
6	45.31	27.0	Hyi bet 	Cet alf 	Peg eta 	Car bet 	Sgr del 
7	141.34	22.0	Cru del 	Lup bet 	Aqr alf 	Aql gam 	Gru bet 
8	100.66	20.5	Boo alf 	TrA bet 	Car bet 	Hyi bet 	Lup bet 
9	88.59	27.0	Pup pi. 	Car eps 	Eri bet 	Eri alf 	Sco tau 
10	32.88	23.5	Cru del 	Cen del 	Sco lam 	Peg gam 	Car eps 
11	136.43	26.5	TrA bet 	Cen eps 	Car the 	Col alf 	Peg eps 
12	8.55	29.5	Aur iot 	Gem gam 	Cru bet 	Col alf 	CMa bet 
13	147.07	23.5	Cyg del 	Aql gam 	Her bet 	Sco ups 	Lib alf0
14	9.14	25.5	Her alf0	Sgr eps 	Sco iot0	And alf 	Sco eps 
15	84.14	25.5	Oph zet 	Cru del 	Sco kap 	Ara bet 	Sgr lam 
16	109.35	29.0	Ari bet 	Sgr sig 	TrA alf 	Pup pi. 	Cen bet 
17	172.13	22.0	Sco tau 	Her zet 	Cap del 	Car eps 	Eri alf 
18	48.5	20.5	Hyi bet 	Sgr lam 	TrA bet 	Peg eps 	Aql gam 
19	136.34	22.5	Crv bet 	Hyi bet 	Lup alf 	Sco eps 	Cen del 
20	170.22	29.0	Tau alf 	Cet alf 	Sgr zet 	Aur iot 	And alf 
21	94.3	19.0	Cen eps 	TrA gam 	Aql zet 	Vir alf 	Gru alf 
22	44.29	19.0	Cen iot 	Pup zet 	Ara alf 	Hya alf 	Vel del 
23	29.95	20.5	Sco iot0	Crv gam 	Vel del 	Sco kap 	Cen iot 
24	126.43	21.0	TrA gam 	Lup alf 	Cen bet 	Car bet 	Sco ups 
