HIP	Vmag	_RA.icrs	_DE.icrs
 	mag	deg	deg
------	-----	------------	------------
1	9.1	0.00089921	1.08900875
2	9.27	0.00426461	-19.49883971
3	6.61	0.00502431	38.85927901
4	8.06	0.00862924	-51.89354573
5	8.55	0.00997344	-40.59120235
6	12.31	0.01869276	3.94645772
7	9.64	0.02201047	20.03611413
8	9.05	0.02734317	25.88646069
9	8.59	0.03532282	36.58595824
10	8.59	0.03641572	-50.86697633
11	7.34	0.03733643	46.93999663
12	8.43	0.04089957	-35.96022506
13	8.8	0.04170195	-22.59470508
14	7.25	0.04842198	-0.36044955
15	8.6	0.05036227	50.79118714
17	8.15	0.05098992	-40.19239251
16	11.71	0.0524969	-54.91436305
18	11.03	0.05282924	-4.05368033
19	6.53	0.05330922	38.30404973
20	8.51	0.06304593	23.52922812
21	7.55	0.0663876	8.00723384
22	8.69	0.07010645	-49.35226574
23	7.57	0.07456455	13.31223428
24	9.05	0.07638666	-23.45269512
25	6.28	0.07956353	-44.29056147
26	9.13	0.08408762	-13.39337792
27	9.32	0.08590961	-41.29781324
28	8.83	0.08721207	-43.36182074
29	9.14	0.09223079	-49.10794521
30	8.26	0.09610796	42.14147417
31	7.63	0.09808203	2.67547719
32	9.09	0.09858221	51.93948715
33	8.1	0.09917188	-10.46238467
34	6.43	0.09958476	26.91810825
35	9.07	0.10296783	-14.49048429
36	7.68	0.10339915	12.26712771
37	10.44	0.10532715	-47.17956673
38	8.65	0.11312591	-79.06198299
39	7.46	0.11229215	-16.69700929
41	8.7	0.11657092	54.3022366
40	10.61	0.12195094	67.21678352
42	8.2	0.12544256	25.84476477
43	6.18	0.12870233	59.55967936
44	7.91	0.13274932	-3.30632275
45	9.59	0.13390871	-72.20271707
46	8.57	0.13458518	-25.62228532
47	10.78	0.13499593	-56.83560235
48	7.31	0.13523572	-40.69047406
49	9.53	0.1395683	16.66904872
50	6.49	0.14308505	-53.09771264
51	8.94	0.14341521	1.06621265
52	8.56	0.14689101	-77.02011641
53	10.96	0.1474235	-29.26341397
54	10.57	0.15259369	17.96890842
55	7.4	0.15883342	-66.68317341
56	8.12	0.16292659	0.22293148
57	8.27	0.16799887	-69.67596496
58	7.05	0.17351893	62.17589814
59	9.09	0.17444632	55.72246019
60	8.34	0.17543305	-64.46579906
61	8.86	0.17629182	53.82214566
62	8.27	0.17997515	-45.42273893
63	6.36	0.18180951	45.25333358
64	8.08	0.18457262	-27.9075816
65	11	0.18710968	-54.83052368
66	8.55	0.18842425	-72.31822025
67	7.83	0.19934271	23.53821871
68	8.79	0.20038292	16.98819718
69	8.33	0.20141819	30.39588967
70	10.42	0.20265818	36.77763731
71	8.26	0.20702546	36.78010596
72	8.97	0.2199319	-12.82896097
73	6.9	0.22032873	66.84801108
74	9.93	0.22234521	35.75262415
75	7.42	0.22327289	-50.44645878
76	9.03	0.22821386	32.82565398
77	8.41	0.23057457	-30.06416645
78	8.06	0.23231177	17.86785087
79	8.69	0.23577186	35.31672029
80	8.4	0.24283274	-11.82373854
81	8.57	0.24341384	-4.93253439
82	9.5	0.24801685	-10.93596353
83	8.85	0.24807269	52.08056203
84	9.61	0.25242746	27.88633041
85	10.62	0.25613701	-24.71404783
86	8.05	0.26046303	69.60350479
87	7.8	0.26149643	-5.83500221
88	5.71	0.26909344	-48.8098756
89	7.87	0.27715454	53.1669426
90	7.64	0.28008183	-41.88754391
91	7.66	0.28053082	-5.87434773
92	8.68	0.2906966	-20.70554966
93	8.12	0.29235608	-0.07609845
94	10.1	0.29499845	-32.75683653
95	8.67	0.30201413	-11.96403357
96	10.46	0.30494514	13.9750881
98	9.87	0.30716971	-52.79857541
97	9.48	0.3073815	-21.40404233
99	7.04	0.31606323	60.35528221
100	8.44	0.31637606	19.74124322
101	9.88	0.3197098	-47.79383145
102	7.05	0.32048758	-41.48743739
103	8.29	0.32207502	-68.37112748
104	9.34	0.32662431	-31.89961853
105	7.73	0.32780793	70.92893785
106	6.22	0.33021487	49.98155781
107	5.53	0.33383021	-50.33737333
108	8.53	0.33664439	-70.12527188
109	7.23	0.34659447	6.79146987
110	8.61	0.34861376	39.6107174
111	11.28	0.34984681	34.28184822
112	10.76	0.35767634	-16.94844609
113	8.93	0.36561966	49.01040602
114	7.95	0.37164702	30.73578537
115	7.46	0.37258484	-62.92313043
116	8.6	0.37532319	-33.79277101
117	8.55	0.38055656	-72.60589935
118	9.2	0.38659514	-9.43003328
119	6.82	0.39016602	44.67540116
120	8.29	0.39592082	-45.34475878
121	6.83	0.39642463	28.42369128
122	4.78	0.39876554	-77.06572447
123	7.21	0.39988475	72.23661528
124	5.58	0.40423123	61.2228008
125	8.7	0.40467015	-39.33674829
126	8.06	0.40882673	14.63232402
127	10.86	0.41224611	-48.93561927
128	6.5	0.41441548	73.6118466
129	9.32	0.41561535	5.37280823
130	9.14	0.41829818	-30.69253681
131	8.13	0.41986828	62.01808739
132	10.62	0.42202106	-34.65354522
133	6.62	0.42347606	-40.14870204
134	9.96	0.42519683	-1.1399598
135	8.64	0.42679631	-0.21777675
136	6.6	0.42869158	24.25311272
137	6.25	0.43270606	42.36714391
138	7.83	0.43744428	-16.5316612
139	10.03	0.44526953	67.50697513
140	9.04	0.45333249	-68.10489746
141	8.47	0.45349432	36.35035821
142	7.33	0.45377733	66.30603196
144	8.66	0.45527839	76.1755975
143	10.35	0.4556469	21.46250254
145	5.13	0.45603512	-3.02750382
146	8.96	0.45583888	-25.79852585
147	8.49	0.46605992	21.02623628
149	11.26	0.47784764	26.00404934
148	8.15	0.47882106	15.52854154
150	7.04	0.4803049	-37.22995274
152	10.02	0.48441895	-28.13094807
153	8.9	0.48451136	12.654888
151	7.78	0.48487414	-41.61377446
154	4.37	0.490079	-6.01407212
155	9.93	0.49119228	46.26915575
156	8.6	0.49693015	63.35782626
157	8.51	0.50042391	-5.21392543
158	7.09	0.500846	-37.90187789
159	6.93	0.51090686	-2.76617076
160	8.68	0.5118149	-69.26919827
161	8.98	0.51241249	33.69595795
162	9.84	0.51335418	27.11860266
163	8.98	0.51719002	-30.68522817
164	7.98	0.51913604	59.9401017
165	10.16	0.51973254	-22.32748652
166	8.86	0.52131713	-56.51493086
167	8.58	0.5278262	39.18320298
168	9.56	0.53342869	-2.82007225
169	9.24	0.53638347	-68.28076934
170	9.63	0.53760041	-20.87166237
171	5.8	0.54231321	27.08225603
172	9.05	0.54287145	67.40895248
173	8.45	0.54956853	47.57720574
174	8.86	0.55164054	59.96533801
175	7.84	0.55240791	49.77108613
176	8.86	0.55339881	44.42826215
177	8.93	0.56022766	-11.96435201
178	7.97	0.56806828	-27.13515294
179	6.9	0.56951496	-13.40743745
180	8.47	0.57091201	-9.17492787
181	6.77	0.57377241	60.70316774
182	8.55	0.58119521	52.58640676
183	5.04	0.58300278	-29.72041402
184	8.48	0.58976909	11.00623589
185	8.53	0.59003804	10.78536258
186	6.33	0.60069578	8.95682361
187	8.99	0.6022829	-6.05927004
188	8.64	0.60269378	6.33301295
189	9.55	0.60523349	54.13513943
190	8.74	0.60543412	10.77636367
191	12.43	0.61296062	-46.02889583
192	8.16	0.61982682	8.39385941
193	9.46	0.6217302	-39.21259132
194	5.7	0.62375948	8.48546309
195	7.62	0.62578106	47.42289022
196	8.95	0.62700573	51.82997606
197	8.97	0.63230374	42.14777942
198	8.94	0.63274867	15.33517277
199	7.24	0.63500427	16.25656482
200	10.32	0.635489	-33.99263266
201	8.24	0.63928016	18.6834067
202	8.62	0.6417406	54.55213943
203	9.18	0.64228628	-15.83125154
204	8.53	0.64522599	-43.94792912
205	8.54	0.64565065	-5.18665127
206	8.56	0.64679242	18.83604389
208	9.41	0.65006817	-67.63428758
207	5.87	0.65036241	66.09896618
209	7.2	0.66020813	66.10039934
210	9.05	0.66214199	-8.48795514
211	9.52	0.66322162	-37.9477206
212	10.24	0.66350951	-29.07524751
213	7.7	0.66703053	51.47240065
214	8.17	0.66917249	28.54222129
217	7.29	0.6741996	82.97320207
215	9.26	0.6745288	75.03621111
216	7.94	0.67688309	42.92064866
218	8.42	0.67962752	-57.63367009
219	8.56	0.69030731	6.03440041
220	7.52	0.69178071	35.81546717
221	7.74	0.69389968	80.28228312
222	8.85	0.69447094	-40.98322936
224	9.01	0.69625925	3.86041554
223	7.17	0.69656258	2.13015466
225	9.04	0.70011748	-15.0405427
226	10.3	0.70045771	-24.94529819
227	9.86	0.70486772	80.28657864
228	7.64	0.71026643	28.25190494
229	8.27	0.71400195	47.25226828
230	8.44	0.71588439	30.33654203
231	9.58	0.72376531	-58.78139811
232	8.43	0.73011815	-30.1497729
233	8.49	0.73192307	71.35851633
234	9.64	0.73360898	70.23800039
235	9.17	0.73645358	71.3680304
236	8.09	0.73786383	-0.89387393
237	9	0.73930196	-39.52741249
238	6.25	0.73953381	-20.04588213
239	8.56	0.74318627	3.38193212
240	10.81	0.74372989	9.79523094
241	8.76	0.75201949	9.13827954
242	7.76	0.75223058	-34.74393947
243	7.82	0.75334939	-60.69190077
244	7.9	0.75887055	39.9951445
245	8.52	0.76373457	-7.81551702
246	9.73	0.76447389	56.73329801
247	9.19	0.76543539	8.26129265
248	8.1	0.76566312	8.27068331
249	8.75	0.77422454	31.87008299
250	8.14	0.77428517	52.46512853
251	8.65	0.77533062	-25.26111411
252	10.3	0.77963675	29.48597889
253	6.46	0.78273045	-24.14514551
254	6.73	0.78477808	42.74790772
255	7.96	0.79466388	-24.58825825
256	9.53	0.79660051	54.51577435
257	8.87	0.80306808	-31.21238392
258	6.59	0.80547707	17.55226848
259	8.65	0.80590428	48.72229408
260	9.64	0.81722957	-55.4050706
261	9.15	0.82053483	-23.6154345
262	9.04	0.82594644	32.84586402
263	12.04	0.82917824	4.68692819
264	8.42	0.83207677	38.2440121
266	8.09	0.83533249	-11.94536721
265	9.06	0.83538029	-64.47609487
267	8.09	0.83535529	-4.14575712
268	8.18	0.8417885	59.07860511
269	8.77	0.84202483	23.57503442
270	7.36	0.84986829	73.17449682
271	9.16	0.85283749	-35.96516429
272	8.82	0.85555187	-26.41518524
273	11.14	0.85686239	-46.83097254
274	6.24	0.85713616	63.64051986
275	9.44	0.8576069	-29.00066262
276	7.49	0.85806046	20.6655296
277	6.96	0.85949749	-36.25119274
278	7.94	0.86311523	55.55090041
279	8.69	0.86376741	62.35780623
280	8.15	0.86620387	53.31268879
281	8.45	0.87620297	55.05996069
282	7.92	0.87642728	19.38149604
283	7.45	0.877118	12.35682055
284	9.01	0.878474	-65.82750503
285	8.55	0.88084109	-35.60222969
286	9.23	0.88150706	78.71782598
287	9.16	0.88585382	-13.22729208
288	7.9	0.88908471	42.35210606
289	8.68	0.90238138	-51.80909975
290	7.78	0.90438013	-31.0941366
291	8.21	0.90457362	-28.41713701
292	8.11	0.90878424	70.30602855
293	8.29	0.91601461	-57.16446242
294	7.89	0.91709908	3.90697339
295	9.67	0.91870509	-41.0958852
296	8.24	0.92285275	-28.39619559
297	6.8	0.92435158	48.43690676
298	8.18	0.92702365	13.36516634
299	8.44	0.93373861	-63.60066661
301	4.55	0.93495762	-17.33598771
300	7.45	0.93515893	42.02352224
302	6.31	0.96516239	66.71218292
303	8.15	0.96930336	57.37827755
304	8.27	0.96979117	22.2960473
305	7.66	0.97230766	-28.39381227
306	8.59	0.97542581	-57.83050043
307	11.55	0.98001043	-42.55948364
308	7.09	0.98373886	14.37886425
309	8.54	0.98594078	-45.288616
310	9.58	0.98776442	-43.19181318
311	8.44	0.98763466	36.97025591
312	8.59	0.98959146	61.10363583
313	8.01	0.99118777	-48.12518542
314	8.29	0.99164172	20.95372919
315	9.62	0.99226508	-71.2787165
316	7.26	1.00104116	12.14579708
317	7.91	1.00333029	-80.39511538
318	9.45	1.00964778	-38.59475382
319	8.19	1.01580661	62.22195019
320	12.14	1.02135321	-16.9976418
321	8.93	1.03296906	-25.89266337
322	7.65	1.03510472	56.92098338
324	8.53	1.04240492	17.43664346
323	7.38	1.04269774	49.87018067
325	8.56	1.04397341	39.1199022
326	8.76	1.0448264	11.26437465
327	9.56	1.04622014	-4.92611155
328	7.09	1.04959221	-30.13491284
329	9.83	1.05172922	-10.14111743
