_RAJ2000	_DEJ2000	HD	DM	GC	HR	HIP	RAJ2000	DEJ2000	Vmag	Fl	Bayer	Cst
deg	deg	 	 	 	 	 	"h:m:s"	"d:m:s"	mag	 	 	
-----------	-----------	------	------------	-----	----	------	-----------	-----------	-----	---	-----	---
001.3339583	 -5.7078333	    28	BD-06  6357 	   59	   3	   443	00 05 20.15	-05 42 28.2	 4.61	 33	     	Psc
001.4247500	+13.3962778	    87	BD+12  5063 	   75	   4	   476	00 05 41.94	+13 23 46.6	 5.55	 86	     	Peg
001.6105417	+64.1961667	   144	BD+63  2107 	   94	   7	   531	00 06 26.53	+64 11 46.2	 5.57	 10	     	Cas
001.9337500	 -2.5486944	   315	BD-03     2 	  114	  11	   635	00 07 44.10	-02 32 55.3	 6.43	  4	     	Cet
002.0503750	 -2.4476944	   352	BD-03     3 	  124	  14	   664	00 08 12.09	-02 26 51.7	 6.18	  5	     	Cet
002.0965417	+29.0908333	   358	BD+28     4 	  127	  15	   677	00 08 23.17	+29 05 27.0	 2.07	 21	alf  	And
002.2920417	+59.1502222	   432	BD+58     3 	  147	  21	   746	00 09 10.09	+59 09 00.8	 2.28	 11	bet  	Cas
002.2597500	+18.2120278	   448	BD+17     7 	  144	  22	   729	00 09 02.34	+18 12 43.3	 5.57	 87	     	Peg
002.3375833	-27.9879167	   493	CD-28    16 	  155	  24	   761	00 09 21.02	-27 59 16.5	 5.42	   	kap01	Scl
002.3522500	-45.7470000	   496	CD-46    18 	  158	  25	   765	00 09 24.54	-45 44 49.2	 3.88	   	eps  	Phe
002.5090833	+11.1458056	   560	BD+10     8 	  167	  26	   813	00 10 02.18	+11 08 44.9	 5.54	 34	     	Psc
002.5801667	+46.0722778	   571	BD+45    17 	  169	  27	   841	00 10 19.24	+46 04 20.2	 5.01	 22	     	And
002.5094583	-82.2240000	   636	CP-82     4 	  173	  30	   814	00 10 02.27	-82 13 26.4	 5.29	   	gam03	Oct
002.8162917	-15.4673333	   693	BD-16    17 	  190	  33	   910	00 11 15.91	-15 28 02.4	 4.89	  6	     	Cet
002.8934167	-27.7997778	   720	CD-28    26 	  197	  34	   930	00 11 34.42	-27 47 59.2	 5.41	   	kap02	Scl
002.9328750	-35.1333889	   739	CD-35    42 	  202	  35	   950	00 11 43.89	-35 08 00.2	 5.24	   	the  	Scl
003.3089583	+15.1836111	   886	BD+14    14 	  238	  39	  1067	00 13 14.15	+15 11 01.0	 2.83	 88	gam  	Peg
003.3789167	+41.0357222	   905	BD+40    29 	  244	  41	  1086	00 13 30.94	+41 02 08.6	 5.71	 23	     	And
003.6504583	+20.2066944	  1013	BD+19    27 	  270	  45	  1168	00 14 36.11	+20 12 24.1	 4.79	 89	chi  	Peg
003.6601250	-18.9326944	  1038	BD-19    21 	  272	  48	  1170	00 14 38.43	-18 55 57.7	 4.44	  7	     	Cet
003.7449167	 +8.8210278	  1061	BD+08    19 	  287	  50	  1196	00 14 58.78	+08 49 15.7	 6.02	 35	     	Psc
004.1419167	 +8.2401944	  1227	BD+07    27 	  315	  59	  1319	00 16 34.06	+08 14 24.7	 6.12	 36	     	Psc
004.2730833	+38.6816667	  1280	BD+37    34 	  334	  63	  1366	00 17 05.54	+38 40 54.0	 4.61	 24	the  	And
004.3520833	 +8.8763333	  1317	BD+08    24 	  340	    	  1392	00 17 24.50	+08 52 34.8	 6.66	 38	     	Psc
004.4294583	+51.4330833	  1337	BD+50    46 	  345	  65	  1415	00 17 43.07	+51 25 59.1	 6.11	   	AO   	Cas
004.5821250	+36.7853333	  1404	BD+35    44 	  362	  68	  1473	00 18 19.71	+36 47 07.2	 4.51	 25	sig  	And
004.6756250	+43.7911389	  1438	BD+42    48 	  376	  70	  1501	00 18 42.15	+43 47 28.1	 6.10	 26	     	And
004.8570000	 -8.8238333	  1522	BD-09    48 	  388	  74	  1562	00 19 25.68	-08 49 25.8	 3.56	  8	iot  	Cet
004.9845000	+16.2508889	  1563	BD+15    47 	  398	    	  1595	00 19 56.28	+16 15 03.2	 6.60	 40	     	Psc
005.0079583	-64.8776111	  1581	CP-65    13 	  401	  77	  1599	00 20 01.91	-64 52 39.4	 4.23	   	zet  	Tuc
005.1494167	 +8.1902500	  1635	BD+07    36 	  413	  80	  1645	00 20 35.86	+08 11 24.9	 5.38	 41	d    	Psc
005.2801250	+37.9686944	  1671	BD+37    45 	  425	  82	  1686	00 21 07.23	+37 58 07.3	 5.16	 27	rho  	And
005.1626667	-69.6249167	  1685	CP-70    12 	  420	  83	  1647	00 20 39.04	-69 37 29.7	 5.50	   	pi.  	Tuc
005.3799167	-28.9813056	  1737	CD-29    86 	  433	  84	  1708	00 21 31.18	-28 58 52.7	 5.18	   	iot  	Scl
005.4426250	-20.0580000	  1760	BD-20    50 	  437	  85	  1728	00 21 46.23	-20 03 28.8	 5.61	   	T    	Cet
005.6060417	+13.4824444	  1796	BD+12    25 	  446	  86	  1772	00 22 25.45	+13 28 56.8	 6.25	 42	     	Psc
005.7147917	-12.2095833	  1835	BD-13    60 	  452	  88	  1803	00 22 51.55	-12 12 34.5	 6.39	  9	     	Cet
006.0083333	+38.5772222	  1967	BD+37    58 	  472	  90	      	00 24 02.00	+38 34 38.0	 7.39	   	R    	And
006.1978750	+61.8310556	  2011	BD+61    69 	  481	  93	  1960	00 24 47.49	+61 49 51.8	 5.38	 12	     	Cas
006.0119583	-72.0953611	  2051	CP-72    35 	     	    	  1902	00 24 02.87	-72 05 43.3	11.21	   	ksi  	Tuc
006.3509167	 +1.9397222	  2114	BD+01    57 	  496	  97	  2006	00 25 24.22	+01 56 23.0	 5.77	 44	     	Psc
006.4245417	 +7.6912222	  2140	BD+06    43 	  502	    	  2025	00 25 41.89	+07 41 28.4	 6.77	 45	     	Psc
006.4133333	-77.2550278	  2151	CP-77    16 	  503	  98	  2021	00 25 39.20	-77 15 18.1	 2.82	   	bet  	Hyi
006.5702917	-42.3051111	  2261	CD-42   116 	  519	  99	  2081	00 26 16.87	-42 18 18.4	 2.40	   	alf  	Phe
006.5505000	-43.6799167	  2262	CD-44   101 	  516	 100	  2072	00 26 12.12	-43 40 47.7	 3.93	   	kap  	Phe
006.6557083	 -0.0495278	  2273	BD-00    63 	  523	 101	  2100	00 26 37.37	-00 02 58.3	 6.16	 10	     	Cet
006.9936667	+19.5140833	  2410	BD+18    51 	  542	    	  2213	00 27 58.48	+19 30 50.7	 6.40	 46	     	Psc
007.0118333	+17.8930833	  2411	BD+17    55 	  543	 103	  2219	00 28 02.84	+17 53 35.1	 5.01	 47	TV   	Psc
006.9821250	-33.0070556	  2429	CD-33   152 	  544	 105	  2210	00 27 55.71	-33 00 25.4	 4.86	   	eta  	Scl
007.0528750	+16.4451111	  2436	BD+15    63 	  548	 106	  2224	00 28 12.69	+16 26 42.4	 6.05	 48	     	Psc
007.5305833	+29.7516944	  2628	BD+28    75 	  583	 114	  2355	00 30 07.34	+29 45 06.1	 5.20	 28	     	And
007.5097917	 -3.9573056	  2637	BD-04    54 	  584	 117	  2353	00 30 02.35	-03 57 26.3	 5.72	 12	     	Cet
007.8550000	+66.5196389	  2729	BD+65    67 	  609	 121	  2474	00 31 25.20	+66 31 10.7	 6.18	 13	     	Cas
007.9430000	+54.5223333	  2772	BD+53    82 	  618	 123	  2505	00 31 46.32	+54 31 20.4	 4.74	 14	lam  	Cas
007.8535833	-48.8035556	  2834	CD-49   115 	  619	 125	  2472	00 31 24.86	-48 48 12.8	 4.76	   	lam01	Phe
007.8856667	-62.9580833	  2884	CP-63    50A	  625	 126	  2484	00 31 32.56	-62 57 29.1	 4.36	   	bet01	Tuc
007.8890000	-62.9654444	  2885	CP-63    50C	  626	 127	  2487	00 31 33.36	-62 57 55.6	 4.53	   	bet02	Tuc
008.2499583	+62.9317778	  2905	BD+62   102 	  645	 130	  2599	00 32 59.99	+62 55 54.4	 4.17	 15	kap  	Cas
008.1475000	+20.2944444	  2910	BD+19    79 	  641	 131	  2568	00 32 35.40	+20 17 40.0	 5.38	 52	     	Psc
008.0989583	 +6.9554444	  2913	BD+06    64 	  636	 132	  2548	00 32 23.75	+06 57 19.6	 5.69	 51	     	Psc
008.1824583	-63.0313889	  3003	CP-63    52 	  651	 136	  2578	00 32 43.79	-63 01 53.0	 5.07	   	bet03	Tuc
008.6037083	+66.7503611	  3038	BD+65    70 	  671	 137	  2707	00 34 24.89	+66 45 01.3	 6.47	 16	     	Cas
008.3467917	-71.2662222	  3112	CP-71    20 	  667	 139	  2629	00 33 23.23	-71 15 58.4	 6.11	   	the  	Tuc
008.8110000	 -3.5927500	  3196	BD-04    62 	  696	 142	  2762	00 35 14.64	-03 35 33.9	 5.20	 13	     	Cet
008.8864583	 -0.5054722	  3229	BD-01    68 	  701	 143	  2787	00 35 32.75	-00 30 19.7	 5.94	 14	     	Cet
008.9213750	-48.0006667	  3302	CD-48   121 	  706	 147	  2802	00 35 41.13	-48 00 02.4	 5.51	   	lam02	Phe
009.2427917	+53.8969444	  3360	BD+53   105 	  727	 153	  2920	00 36 58.27	+53 53 49.0	 3.69	 17	zet  	Cas
009.2201667	+33.7193611	  3369	BD+32   101 	  729	 154	  2912	00 36 52.84	+33 43 09.7	 4.34	 29	pi.  	And
009.1971250	+15.2317500	  3379	BD+14    76 	  728	 155	  2903	00 36 47.31	+15 13 54.3	 5.89	 53	     	Psc
009.5190417	 -0.5035000	  3512	BD-01    75 	  752	    	  2994	00 38 04.57	-00 30 12.6	 6.64	 15	     	Cet
009.6395833	+29.3123611	  3546	BD+28   103 	  759	 163	  3031	00 38 33.50	+29 18 44.5	 4.34	 30	eps  	And
009.8316667	+30.8612222	  3627	BD+30    91 	  774	 165	  3092	00 39 19.60	+30 51 40.4	 3.27	 31	del  	And
009.8420417	+21.2513611	  3651	BD+20    85 	  778	 166	  3093	00 39 22.09	+21 15 04.9	 5.88	 54	     	Psc
009.9814583	+21.4385556	  3690	BD+20    87 	  784	 167	  3138	00 39 55.55	+21 26 18.8	 5.36	 55	     	Psc
010.1266250	+56.5374167	  3712	BD+55   139 	  792	 168	  3179	00 40 30.39	+56 32 14.7	 2.24	 18	alf  	Cas
010.2800000	+39.4586667	  3817	BD+38    90 	  812	 175	  3231	00 41 07.20	+39 27 31.2	 5.30	 32	     	And
010.5161667	+50.5125278	  3901	BD+49   164 	  828	 179	  3300	00 42 03.88	+50 30 45.1	 4.80	 19	ksi  	Cas
