problem	phi	time	star1	star2	star3	star4	star5
1	34.44	21.5	Peg gam 	Cap del 	Aql gam 	UMa eps 	Cyg gam 
2	50.3	28.0	Per zet 	UMa zet 	Ori eps 	Eri gam 	Aur the 
3	7.71	25.5	Aql alf 	Her bet 	Cas del 	Cas alf 	Cet alf 
4	2.96	22.5	Sco pi. 	Boo alf 	Cep alf 	Dra bet 	Sco iot0
5	108.39	25.0	Aur alf 	Ser alf 	Dra gam 	And bet 	Per gam 
6	149.42	28.0	Ori alf 	Gem gam 	Peg eta 	UMa alf 	Aur iot 
7	67.39	29.5	UMi bet 	Tau bet 	Per alf 	And gam0	Per gam 
8	2.71	25.0	UMa eta 	Cet bet 	UMa alf 	Cas gam 	And bet 
9	56.35	27.5	PsA alf 	Eri gam 	Ori alf 	Peg eps 	Per zet 
10	97.8	21.0	And alf 	Oph alf 	Peg bet 	Dra eta 	Cas del 
11	22.15	23.0	Cap del 	Sgr del 	Oph alf 	Peg gam 	UMa bet 
12	106.92	23.5	Her zet 	Sco alf 	Cyg eps 	Ser alf 	Sgr eps 
13	178.77	21.0	Her zet 	Aql alf 	Leo del 	Dra eta 	Cyg del 
14	42.7	28.5	Eri the0	Peg eta 	Gem bet 	Aqr alf 	Ori bet 
15	155.38	24.0	UMa alf 	Cyg eps 	Sgr pi. 	Per gam 	Dra eta 
16	15.57	22.0	Sco kap 	Aql zet 	Boo eps 	Aqr alf 	CrB alf 
17	141.08	27.0	Tau bet 	Cyg eps 	Aur iot 	Cyg del 	And alf 
18	155.39	20.5	Sco tau 	Her alf0	Dra bet 	Sco bet0	Crv del 
19	76.19	27.5	Cas gam 	Per eps 	Eri gam 	Gem alf 	And alf 
20	153.06	28.5	Dra bet 	Cet alf 	Ori kap 	Gem alf 	Cas del 
21	2.91	27.0	Her alf0	Cas bet 	Eri bet 	Dra eta 	Aqr alf 
22	157.42	25.5	Cas gam 	Peg eps 	UMa gam 	Cet bet 	UMa bet 
23	0.39	28.0	Aql alf 	Cas bet 	Lyr alf 	UMa eta 	Ori del 
24	53.03	20.0	Cyg gam 	CVn alf0	Peg bet 	Oph alf 	Peg eta 
25	154.38	19.0	Ser alf 	Boo eta 	Leo gam0	Lib alf0	Crv bet 
26	97.19	27.0	Peg gam 	Eri gam 	Cet alf 	Tau bet 	Aur bet 
27	66.43	21.0	Cyg gam 	And gam0	Oph zet 	Cas bet 	Aqr alf 
