problem	phi	time	star1	star2	star3	star4	star5
1	110.29	19.5	Sco tau 	UMa gam 	Ser alf 	Cas bet 	Sgr pi. 
2	58.2	25.5	And gam0	UMa zet 	Ari alf 	Oph bet 	UMa eta 
3	78.9	23.0	CrB alf 	UMa zet 	Sco pi. 	UMa alf 	Sco alf 
4	165.58	24.5	Peg eps 	Cas bet 	Ser alf 	UMa alf 	Cyg gam 
5	149.94	28.0	Cas del 	Dra gam 	Aur bet 	PsA alf 	Cyg alf 
6	75.96	19.5	CVn alf0	Her alf0	Dra gam 	Cen iot 	Sgr zet 
7	92.5	28.0	Per eps 	PsA alf 	Gem bet 	Peg gam 	Her zet 
8	150.0	27.0	Tau zet 	Cyg gam 	Aql alf 	Per alf 	UMa gam 
9	0.66	25.5	Sgr sig 	Sgr zet 	Peg bet 	Aur bet 	PsA alf 
10	10.52	18.0	Crv gam 	Leo bet 	Sgr lam 	Oph zet 	Per gam 
11	55.39	29.0	Peg gam 	Per gam 	Gem alf 	Eri the0	Peg alf 
12	178.74	28.5	Cep alf 	Aqr bet 	UMa gam 	And bet 	Tau zet 
13	34.71	19.0	Her zet 	Aql gam 	Vir alf 	Sco kap 	Oph zet 
14	97.41	24.5	Aql alf 	Cyg gam 	Sgr eps 	UMa eps 	Sgr sig 
15	18.5	19.0	Ser alf 	Aql gam 	Crv del 	Dra eta 	Cyg gam 
16	86.17	27.5	Per zet 	Aql zet 	Dra eta 	UMa gam 	Aur alf 
17	7.4	21.0	Sgr gam 	Oph alf 	Cyg eps 	Sgr del 	Lyr alf 
18	94.71	25.5	UMa eps 	Ari alf 	Cas bet 	Her alf0	Oph alf 
19	38.71	24.5	Peg eps 	Cas bet 	Peg bet 	Her zet 	Aql gam 
20	43.83	21.0	Oph del 	UMi bet 	CrB alf 	Sco lam 	Aqr bet 
21	101.73	25.5	Ari bet 	UMa gam 	Cyg gam 	Cyg del 	Cet alf 
22	55.32	29.5	Gem gam 	Per alf 	And bet 	Aql alf 	Dra gam 
23	120.52	28.0	Cet bet 	Ori del 	Cas del 	Peg eps 	Tau eta 
24	62.2	26.5	Aql zet 	Aur the 	Per eps 	Cyg del 	Aur bet 
25	95.61	23.5	Her bet 	Sco kap 	Oph alf 	Sgr zet 	Peg bet 
26	52.8	25.0	Cyg alf 	Oph del 	Lyr alf 	Per bet 	CrB alf 
27	77.35	24.5	Peg eta 	Oph zet 	Lyr alf 	PsA alf 	UMa gam 
28	16.19	18.0	Sco pi. 	Crv gam 	Cep alf 	Aql alf 	UMi bet 
29	14.47	21.5	Her alf0	Sco del 	Peg eps 	Boo eps 	CrB alf 
30	111.56	24.0	Cas alf 	Dra bet 	Aur alf 	UMa alf 	Cet bet 
31	1.69	19.5	Sgr del 	Vir eps 	Sco bet0	Boo eps 	Leo bet 
